index,satellite position,satellite velocity,satellite acceleration,time,sv
103.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G12
104.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G13
105.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G14
106.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G15
107.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G16
108.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G17
109.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G18
110.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G19
111.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G20
112.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G21
113.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G22
114.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G23
115.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G24
116.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G25
117.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G26
118.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G27
119.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G28
120.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G29
121.0,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",2023-03-02 01:59:44,G30
