index,satellite position,Unnamed: 0.1,satellite velocity,satellite acceleration,0.3,0.4,0.5,0.6,0.7,Unnamed: 0.8,0.8,time,sv
71.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,2023-03-02 00:00:00,G11
72.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,2023-03-02 00:00:00,G12
73.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,2023-03-02 00:00:00,G13
74.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,2023-03-02 00:00:00,G14
75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,2023-03-02 00:00:00,G15
76.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,2023-03-02 00:00:00,G16
77.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,2023-03-02 00:00:00,G17
78.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,2023-03-02 00:00:00,G18
79.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,2023-03-02 00:00:00,G19
80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,2023-03-02 00:00:00,G20
81.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,2023-03-02 00:00:00,G21
82.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,2023-03-02 00:00:00,G22
83.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,2023-03-02 00:00:00,G23
84.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,2023-03-02 00:00:00,G24
85.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,2023-03-02 00:00:00,G25
86.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,2023-03-02 00:00:00,G26
87.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,2023-03-02 00:00:00,G27
88.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,2023-03-02 00:00:00,G28
89.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,2023-03-02 00:00:00,G29
90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,2023-03-02 00:00:00,G30
91.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,2023-03-02 00:00:00,G31
92.0,19346262.588893667,92.0,12336932.428860176,13651157.698487,-1732.3363824596909,2975.6202292027447,2457.4342521982176,0.1316706588268748,0.059873604726197,92.0,-0.285953079323154,2023-03-02 00:00:00,G32
93.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,2023-03-02 01:59:44,G01
94.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,2023-03-02 01:59:44,G02
95.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,2023-03-02 01:59:44,G03
